Dataset,Algorithm,Number of elements sorted,Execution time (s)
random,Bubble Sort,1000,0.005998
random,Bubble Sort,10000,0.621151
random,Bubble Sort,100000,128.276553
almost,Bubble Sort,1000,0.004051
almost,Bubble Sort,10000,0.492842
almost,Bubble Sort,100000,49.696116
reverse,Bubble Sort,1000,0.014424
reverse,Bubble Sort,10000,1.719468
reverse,Bubble Sort,100000,165.655864

random,Insertion Sort,1000,0.007979
random,Insertion Sort,10000,0.544465
random,Insertion Sort,100000,42.901456
almost,Insertion Sort,1000,0.001011
almost,Insertion Sort,10000,0.004970
almost,Insertion Sort,100000,0.429629
reverse,Insertion Sort,1000,0.008716
reverse,Insertion Sort,10000,0.855080
reverse,Insertion Sort,100000,93.582553

random,Selection Sort,1000,0.011165
random,Selection Sort,10000,0.822811
random,Selection Sort,100000,59.604859
almost,Selection Sort,1000,0.003998
almost,Selection Sort,10000,0.625948
almost,Selection Sort,100000,56.921571
reverse,Selection Sort,1000,0.004976
reverse,Selection Sort,10000,0.518081
reverse,Selection Sort,100000,52.798706

random,Quick Sort,1000,0.000000
random,Quick Sort,10000,0.006033
random,Quick Sort,100000,0.044093
almost,Quick Sort,1000,0.011684
almost,Quick Sort,10000,2.051232

random,Heap Sort,1000,0.000000
random,Heap Sort,10000,0.011419
random,Heap Sort,100000,0.102399
almost,Heap Sort,1000,0.000000
almost,Heap Sort,10000,0.005558
almost,Heap Sort,100000,0.087601
reverse,Heap Sort,1000,0.000508
reverse,Heap Sort,10000,0.005536
reverse,Heap Sort,100000,0.072233

random,Radix Sort,1000,0.001003
random,Radix Sort,10000,0.039327
random,Radix Sort,100000,0.281116
almost,Radix Sort,1000,0.000000
almost,Radix Sort,10000,0.043546
almost,Radix Sort,100000,0.183975
reverse,Radix Sort,1000,0.001001
reverse,Radix Sort,10000,0.004031
reverse,Radix Sort,100000,0.106268

random,Merge Sort,1000,0.007434
random,Merge Sort,10000,0.033640
random,Merge Sort,100000,0.326628
almost,Merge Sort,1000,0.004641
almost,Merge Sort,10000,0.014539
almost,Merge Sort,100000,0.208615
reverse,Merge Sort,1000,0.000998
reverse,Merge Sort,10000,0.026329
reverse,Merge Sort,100000,0.193824

random,Timsort,1000,0.000000
random,Timsort,10000,0.007021
random,Timsort,100000,0.158760
almost,Timsort,1000,0.001063
almost,Timsort,10000,0.008433
almost,Timsort,100000,0.074967
reverse,Timsort,1000,0.000000
reverse,Timsort,10000,0.007005
reverse,Timsort,100000,0.089666
