Random:
Algorithm,Number of elements sorted,Execution time (s)
Bubble Sort,1000,0.0040353
Insertion Sort,1000,0.001
Selection Sort,1000,0.002
Quick Sort,1000,0.001
Heap Sort,1000,0
Radix Sort,1000,0
Merge Sort,1000,0
Timsort,1000,0

Almost:
Bubble Sort,1000,0.006022
Insertion Sort,1000,0
Selection Sort,1000,0.001
Quick Sort,1000,0.004
Heap Sort,1000,0
Radix Sort,1000,0
Merge Sort,1000,0
Timsort,1000,0

Reverse:
Bubble Sort,1000,0.006510
Insertion Sort,1000,0.003
Selection Sort,1000,0.001
Quick Sort,1000,0.003
Heap Sort,1000,0
Radix Sort,1000,0
Merge Sort,1000,0
Timsort,1000,0
